dataset,fraction_rows,wall_time_sec,cir_agreement,proj_residual,sym_kl,jaccard_at_8
audio_mfcc,0.2,0.5406126976013184,0.009623202049372398,0.7963418431867496,0.2860782793177667,0.33333333333330556
audio_mfcc,0.3,0.7234656810760498,0.00606723996980026,0.7132195666458312,0.2754927581085473,0.7777777777776913
audio_mfcc,0.4,0.8367531299591064,0.0006247482321934912,0.6375781449603907,0.22828020248443195,0.59999999999994
audio_mfcc,0.6,0.9820780754089355,0.0076864426541619815,0.5308597830019803,0.1607024681213292,0.999999999999875
audio_mfcc,0.8,1.4046132564544678,0.011874221273835176,0.37786696857867924,0.08541756784285445,0.7777777777776913
audio_mfcc,1.0,2.1152429580688477,0.0008286813782517628,0.07954390011720022,0.030406143141429424,0.999999999999875
weather_station,0.2,0.0740499496459961,3.775122819117235e-05,0.06704773860613815,0.0004760332861014104,0.9999999999997999
weather_station,0.3,0.13672256469726562,7.656186257576742e-06,0.05691293558985533,0.00011466322736334244,0.9999999999997999
weather_station,0.4,0.15039277076721191,5.0653227218614115e-08,0.04946619602442603,0.00015800094780689356,0.9999999999997999
weather_station,0.6,0.1357872486114502,1.1654361411392336e-06,0.040626905849293946,6.565477844035997e-05,0.9999999999997999
weather_station,0.8,0.13641571998596191,2.761587933129463e-06,0.03194794836851984,4.757300197288857e-05,0.9999999999997999
weather_station,1.0,0.13939213752746582,8.775365650779372e-07,0.012638452086280486,1.5528438104197673e-05,0.9999999999997999
eeg_signals,0.2,0.07041049003601074,0.00029595236883891816,0.21008296827807252,0.016585611133807965,0.999999999999875
eeg_signals,0.3,0.16061902046203613,0.00023647974838101398,0.1913231175571177,0.008009556152121783,0.999999999999875
eeg_signals,0.4,0.1663808822631836,0.00018458687965771872,0.15813940352798006,0.006430602050866009,0.999999999999875
eeg_signals,0.6,0.17724180221557617,5.444542327772574e-05,0.10456026329012058,0.002840425409665017,0.999999999999875
eeg_signals,0.8,0.18906688690185547,2.4054626010191678e-06,0.03369088757916586,0.0010425158790965654,0.999999999999875
eeg_signals,1.0,0.1839125156402588,9.146609344586129e-07,0.015382533071149947,0.00015313522695416118,0.999999999999875
satellite_ndvi,0.2,0.19625449180603027,1.2065066846721564e-05,0.15153578940749238,0.0006620575173452452,0.999999999999875
satellite_ndvi,0.3,0.28049254417419434,1.3879221166919979e-05,0.13318594178701973,0.00036380499088925706,0.999999999999875
satellite_ndvi,0.4,0.27152252197265625,2.095691290342287e-06,0.07685494600558404,0.00012222664289865645,0.999999999999875
satellite_ndvi,0.6,0.31083250045776367,3.4890092028250885e-06,0.06658959121747007,6.760175016522912e-05,0.999999999999875
satellite_ndvi,0.8,0.33535337448120117,6.721330694357498e-07,0.03741386124005619,3.6573590886792705e-05,0.999999999999875
satellite_ndvi,1.0,0.31828999519348145,3.986414660844932e-08,0.009835244834835504,1.3199391795280918e-06,0.999999999999875
industrial_process,0.2,0.057170867919921875,1.5101240089815997e-05,0.13236280686785482,0.0020270113117290198,0.99999999999975
industrial_process,0.3,0.09257388114929199,4.334233289304655e-06,0.11557441916266042,0.0017511668626292649,0.99999999999975
industrial_process,0.4,0.11117386817932129,2.0850358004179147e-05,0.10982469129413819,0.0011217434410392775,0.99999999999975
industrial_process,0.6,0.11702537536621094,1.7716429361526868e-07,0.08575230997427026,0.0003206186392150489,0.99999999999975
industrial_process,0.8,0.1568593978881836,2.382876210249533e-07,0.0661473659049435,0.00017079896571341492,0.99999999999975
industrial_process,1.0,0.12835049629211426,2.0964393560224077e-07,0.018437136434616294,1.8523155934510244e-05,0.99999999999975
social_network,0.2,0.025180339813232422,0.009676950235075853,0.10227210202525763,0.025902426487029437,0.9999999999997999
social_network,0.3,0.08053159713745117,0.009431450005529479,0.09491779431351513,0.010500469581140537,0.9999999999997999
social_network,0.4,0.0749666690826416,9.305966773228977e-06,0.09196550071474081,0.03339600316190734,0.9999999999997999
social_network,0.6,0.07906341552734375,2.6004420549966943e-06,0.06790086138067875,0.01790345958024259,0.9999999999997999
social_network,0.8,0.0859839916229248,0.0031232023799818817,0.054748655622097624,0.008758049854756637,0.9999999999997999
social_network,1.0,0.09367704391479492,0.00017841172981897753,0.025995240299829272,0.012642130999068392,0.9999999999997999
breast_cancer,0.2,0.07582783699035645,0.00038716655405486534,0.19002746570481482,0.007414139422183781,0.7777777777776913
breast_cancer,0.3,0.12897586822509766,0.0003811951694791341,0.1558677166563576,0.0013610540827257815,0.999999999999875
breast_cancer,0.4,0.14093875885009766,2.1224405760457483e-05,0.08949794311731198,0.0010508248779338841,0.999999999999875
breast_cancer,0.6,0.15318870544433594,2.3503786425255336e-05,0.05555944042833365,0.000811564539686717,0.999999999999875
breast_cancer,0.8,0.1850905418395996,2.8434269315607207e-06,0.01218231757633634,4.575073109482552e-05,0.999999999999875
breast_cancer,1.0,0.14837241172790527,1.235803788209624e-06,0.003000548885511978,6.2094469483701e-06,0.999999999999875
retail_demand,0.2,0.04275107383728027,3.597779501044937e-08,0.05397072341992677,0.0012679921997384958,0.99999999999975
retail_demand,0.3,0.059693336486816406,1.3164360724058732e-05,0.05058235964911242,0.0016155348908445063,0.99999999999975
retail_demand,0.4,0.06300091743469238,1.0986865054517221e-05,0.046623593651286495,0.0009650894805866738,0.99999999999975
retail_demand,0.6,0.06623959541320801,2.2916634187543567e-05,0.03838663766423552,0.0007701836053830849,0.99999999999975
retail_demand,0.8,0.0699920654296875,2.6857208222838373e-06,0.029294957859716864,0.0002984127814110505,0.99999999999975
retail_demand,1.0,0.07059693336486816,2.073330478393871e-06,0.012857347392537856,0.00011731272297268937,0.99999999999975
traffic_flow,0.2,0.025482654571533203,4.4843807476867476e-06,0.043737393973149734,0.00021040554554244937,0.9999999999996666
traffic_flow,0.3,0.0690000057220459,2.944495305110428e-05,0.036751472235769425,0.00014328344798959325,0.9999999999996666
traffic_flow,0.4,0.08180594444274902,7.987027549804131e-06,0.02780188057842368,0.00010334571456901317,0.9999999999996666
traffic_flow,0.6,0.08838105201721191,1.893773430916084e-05,0.019192813629880175,9.552202458929323e-05,0.9999999999996666
traffic_flow,0.8,0.03963661193847656,1.86978535614715e-06,0.012520120911671383,5.868601387964571e-05,0.9999999999996666
traffic_flow,1.0,0.045883893966674805,1.676793421507367e-08,0.003454730867307838,3.770374468649448e-07,0.9999999999996666
energy_consumption,0.2,0.04278159141540527,0.0006328080001607714,0.15050745494264073,0.0017342741708673724,0.99999999999975
energy_consumption,0.3,0.058867454528808594,0.0006546188947102352,0.13355893643875755,0.0024201178179567547,0.99999999999975
energy_consumption,0.4,0.06110191345214844,0.00018660408995230363,0.11641001144051119,0.0011655187935641442,0.99999999999975
energy_consumption,0.6,0.06653618812561035,8.284154678996026e-05,0.09394171474575894,0.0009803413707156806,0.99999999999975
energy_consumption,0.8,0.06842398643493652,2.057557920403854e-06,0.08253505139772777,0.0006055898183874588,0.99999999999975
energy_consumption,1.0,0.07480859756469727,2.773148829010375e-05,0.029933319688009323,0.00016780884846391054,0.99999999999975
