dataset,method,k,metric_name,metric_value
social_network,ExCIR,8,accuracy,0.961
social_network,ExCIR,12,accuracy,0.961
social_network,TreeGain,3,accuracy,0.967
social_network,TreeGain,5,accuracy,0.961
social_network,TreeGain,8,accuracy,0.961
social_network,TreeGain,12,accuracy,0.961
social_network,PDP-var,3,accuracy,0.961
social_network,PDP-var,5,accuracy,0.961
social_network,PDP-var,8,accuracy,0.961
social_network,PDP-var,12,accuracy,0.961
social_network,MI(pred),3,accuracy,0.961
social_network,MI(pred),5,accuracy,0.961
social_network,MI(pred),8,accuracy,0.961
social_network,MI(pred),12,accuracy,0.961
social_network,MI(label),3,accuracy,0.969
social_network,MI(label),5,accuracy,0.961
social_network,MI(label),8,accuracy,0.961
social_network,MI(label),12,accuracy,0.961
social_network,Surrogate-LR,3,accuracy,0.961
social_network,Surrogate-LR,5,accuracy,0.961
social_network,Surrogate-LR,8,accuracy,0.961
social_network,Surrogate-LR,12,accuracy,0.961
breast_cancer,ExCIR,3,accuracy,0.6403508771929824
breast_cancer,ExCIR,5,accuracy,0.7017543859649122
breast_cancer,ExCIR,8,accuracy,0.7894736842105263
breast_cancer,ExCIR,12,accuracy,0.9210526315789473
breast_cancer,TreeGain,3,accuracy,0.9298245614035088
breast_cancer,TreeGain,5,accuracy,0.9298245614035088
breast_cancer,TreeGain,8,accuracy,0.9473684210526315
breast_cancer,TreeGain,12,accuracy,0.9473684210526315
breast_cancer,PDP-var,3,accuracy,0.9298245614035088
breast_cancer,PDP-var,5,accuracy,0.9210526315789473
breast_cancer,PDP-var,8,accuracy,0.9473684210526315
breast_cancer,PDP-var,12,accuracy,0.9473684210526315
breast_cancer,MI(pred),3,accuracy,0.8859649122807017
breast_cancer,MI(pred),5,accuracy,0.9473684210526315
breast_cancer,MI(pred),8,accuracy,0.9210526315789473
breast_cancer,MI(pred),12,accuracy,0.9385964912280702
breast_cancer,MI(label),3,accuracy,0.9385964912280702
breast_cancer,MI(label),5,accuracy,0.9210526315789473
breast_cancer,MI(label),8,accuracy,0.9210526315789473
breast_cancer,MI(label),12,accuracy,0.9385964912280702
breast_cancer,Surrogate-LR,3,accuracy,0.9210526315789473
breast_cancer,Surrogate-LR,5,accuracy,0.9122807017543859
breast_cancer,Surrogate-LR,8,accuracy,0.9035087719298246
breast_cancer,Surrogate-LR,12,accuracy,0.9385964912280702
retail_demand,ExCIR,3,r2,0.5194594009111813
retail_demand,ExCIR,5,r2,0.8139830000558492
retail_demand,ExCIR,8,r2,0.8139830000558492
retail_demand,ExCIR,12,r2,0.8139830000558492
retail_demand,TreeGain,3,r2,0.6945672052655916
retail_demand,TreeGain,5,r2,0.814382992092419
retail_demand,TreeGain,8,r2,0.814382992092419
retail_demand,TreeGain,12,r2,0.814382992092419
retail_demand,PDP-var,3,r2,0.7398915190216335
retail_demand,PDP-var,5,r2,0.8141648203853302
retail_demand,PDP-var,8,r2,0.8141648203853302
retail_demand,PDP-var,12,r2,0.8141648203853302
retail_demand,MI(pred),3,r2,0.7398915190216335
retail_demand,MI(pred),5,r2,0.8141648203853302
retail_demand,MI(pred),8,r2,0.8141648203853302
retail_demand,MI(pred),12,r2,0.8141648203853302
retail_demand,MI(label),3,r2,0.6945672052655916
retail_demand,MI(label),5,r2,0.814382992092419
retail_demand,MI(label),8,r2,0.814382992092419
retail_demand,MI(label),12,r2,0.814382992092419
retail_demand,Surrogate-LR,3,r2,0.7398915190216335
retail_demand,Surrogate-LR,5,r2,0.8141648203853302
retail_demand,Surrogate-LR,8,r2,0.8141648203853302
retail_demand,Surrogate-LR,12,r2,0.8141648203853302
traffic_flow,ExCIR,3,r2,0.964234163787151
traffic_flow,ExCIR,5,r2,0.964234163787151
traffic_flow,ExCIR,8,r2,0.964234163787151
traffic_flow,ExCIR,12,r2,0.964234163787151
traffic_flow,TreeGain,3,r2,0.964234163787151
traffic_flow,TreeGain,5,r2,0.964234163787151
traffic_flow,TreeGain,8,r2,0.964234163787151
traffic_flow,TreeGain,12,r2,0.964234163787151
traffic_flow,PDP-var,3,r2,0.964234163787151
traffic_flow,PDP-var,5,r2,0.964234163787151
traffic_flow,PDP-var,8,r2,0.964234163787151
traffic_flow,PDP-var,12,r2,0.964234163787151
traffic_flow,MI(pred),3,r2,0.964234163787151
traffic_flow,MI(pred),5,r2,0.964234163787151
traffic_flow,MI(pred),8,r2,0.964234163787151
traffic_flow,MI(pred),12,r2,0.964234163787151
traffic_flow,MI(label),3,r2,0.964234163787151
traffic_flow,MI(label),5,r2,0.964234163787151
traffic_flow,MI(label),8,r2,0.964234163787151
traffic_flow,MI(label),12,r2,0.964234163787151
traffic_flow,Surrogate-LR,3,r2,0.964234163787151
traffic_flow,Surrogate-LR,5,r2,0.964234163787151
traffic_flow,Surrogate-LR,8,r2,0.964234163787151
traffic_flow,Surrogate-LR,12,r2,0.964234163787151
energy_consumption,ExCIR,3,r2,0.6456318087261511
energy_consumption,ExCIR,5,r2,0.7500690615848628
energy_consumption,ExCIR,8,r2,0.7500690615848628
energy_consumption,ExCIR,12,r2,0.7500690615848628
energy_consumption,TreeGain,3,r2,0.645396401085775
energy_consumption,TreeGain,5,r2,0.7493263646326674
energy_consumption,TreeGain,8,r2,0.7493263646326674
energy_consumption,TreeGain,12,r2,0.7493263646326674
energy_consumption,PDP-var,3,r2,0.6456318087261511
energy_consumption,PDP-var,5,r2,0.7500690615848628
energy_consumption,PDP-var,8,r2,0.7500690615848628
energy_consumption,PDP-var,12,r2,0.7500690615848628
energy_consumption,MI(pred),3,r2,0.6456318087261511
energy_consumption,MI(pred),5,r2,0.7500690615848628
energy_consumption,MI(pred),8,r2,0.7500690615848628
energy_consumption,MI(pred),12,r2,0.7500690615848628
energy_consumption,MI(label),3,r2,0.6456318087261511
energy_consumption,MI(label),5,r2,0.7500690615848628
energy_consumption,MI(label),8,r2,0.7500690615848628
energy_consumption,MI(label),12,r2,0.7500690615848628
energy_consumption,Surrogate-LR,3,r2,0.6456318087261511
energy_consumption,Surrogate-LR,5,r2,0.7500690615848628
energy_consumption,Surrogate-LR,8,r2,0.7500690615848628
energy_consumption,Surrogate-LR,12,r2,0.7500690615848628
